uid,date,domainID,siteID,identificationReferences,remarks
"cb05fca7-99a9-4902-b580-235e78fa1e1c","2016-06-25","D01","BART","Sibley, D.A. 2014. The Sibley Guide to Birds. Second Edition. Alfred A. Knopf, New York",
"7c73f092-398c-4d98-9622-95cb67e510fa","2017-07-27","D01","BART","Sibley, D.A. 2014. The Sibley Guide to Birds. Second Edition. Alfred A. Knopf, New York.",
"c566bba3-1879-4f25-9c20-45ee71df5c3e","2018-06-07","D01","BART","Sibley, D. A. 2000. The Sibley Guide to Birds. Alfred A. Knopf, New York.",
"a7931804-18d0-45e3-8f23-c02da709805e","2019-05-28","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
"dd00278a-c983-4eb3-abcc-c2d74547ac01","2020-06-20","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
"abf69f68-2224-4a89-a06f-0dcc4406faa1","2021-05-25","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
"61daedaa-f6e3-431a-9dfc-d97355332479","2022-06-01","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
"027836d8-03b9-4289-92fa-548e71f46ab9","2023-05-31","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
"39e42484-6ac9-49f5-9d7f-ad76d45ddf15","2024-06-02","D01","BART","Niklasson, M. A. 2017. Aves Vox. Computer Software. Version 5.0.2. Max Allan Niklasson.;Sibley, D.A. 2016. The Sibley eGuide to Birds App. Computer Software. Version 1.7.1. Cool ideas, LLC.",
