"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"50079acd-0a59-4747-82fa-80f682b0e481","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",6,"Y","PIWA","Setophaga pinus","species","Pine Warbler","Parulidae","N",39,"singing","No","Male",1,"","JRUEB",NA
"3beaa553-47e9-4d72-b6dd-1f0812edd91d","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",1,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler","Parulidae","N",23,"singing","No","Male",1,"","JRUEB",NA
"bf68d51a-0705-4c5d-b438-af31db92824f","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",38,"singing","No","Male",1,"","JRUEB",NA
"5b0f22b6-9b0d-4392-a8cb-0300b0e3f399","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",3,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",30,"singing","No","Male",1,"","JRUEB",NA
"efe8f7b6-0aaf-400e-9fa9-0dbc56845c93","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",5,"Y","WOTH","Hylocichla mustelina","species","Wood Thrush","Turdidae","N",60,"singing","No","Male",1,"","JRUEB",NA
"5d9cbbf6-d64b-439f-a7e6-aa1dbf5549d5","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",6,"Y","YRWA","Setophaga coronata","species","Yellow-rumped Warbler","Parulidae","N",43,"singing","No","Male",1,"","JRUEB",NA
"848d5a52-b603-4157-807a-2daceabd2f9e","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",4,"2015-06-14T11:24Z",1,"BRD.BART.2015.1",1,"Y","MAWA","Setophaga magnolia","species","Magnolia Warbler","Parulidae","N",44,"singing","No","Male",1,"","JRUEB",NA
"999d1626-2391-4f98-bc34-329d8ad8dbde","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",5,"2015-06-14T12:20Z",1,"BRD.BART.2015.1",3,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee","Paridae","N",31,"singing","No","Male",1,"","JRUEB",NA
"3bcf99bb-a352-40d4-98ca-a801426f4d58","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",5,"2015-06-14T12:20Z",1,"BRD.BART.2015.1",3,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler","Parulidae","N",58,"singing","No","Male",1,"","JRUEB",NA
"c5daba3c-6d12-4ee7-8caa-eee16474cc7c","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",5,"2015-06-14T12:20Z",1,"BRD.BART.2015.1",1,"Y","VEER","Catharus fuscescens","species","Veery","Turdidae","N",62,"singing","No","Male",1,"","JRUEB",NA
"0f23ea3a-59fd-4fa0-840e-c9e4a2b64a3c","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",5,"2015-06-14T12:20Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",33,"singing","No","Male",1,"","JRUEB",NA
"8c868607-6eed-42a8-9a24-b86b2612c870","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",6,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker","Picidae","N",26,"singing","No","Male",1,"","JRUEB",NA
"29787fa1-b016-44a7-bbf0-2807d034c7b0","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",5,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",58,"singing","No","Male",1,"","JRUEB",NA
"61d0b4a0-f5c5-4721-846d-eb62b78395be","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",29,"singing","No","Male",1,"","JRUEB",NA
"9ee31c5f-fd14-4500-b7a1-47fb95a413a1","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",4,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",56,"singing","No","Male",1,"","JRUEB",NA
"84c73def-65cc-4c9a-a9de-ecee177638b7","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",1,"Y","MAWA","Setophaga magnolia","species","Magnolia Warbler","Parulidae","N",26,"singing","No","Male",1,"","JRUEB",NA
"7f043a37-eed0-47a7-b2df-395933a7bc63","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",1,"Y","PIWA","Setophaga pinus","species","Pine Warbler","Parulidae","N",48,"singing","No","Male",1,"","JRUEB",NA
"94a3d10c-ed79-473b-aed0-69610933821d","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",1,"Y","YRWA","Setophaga coronata","species","Yellow-rumped Warbler","Parulidae","N",30,"singing","No","Male",1,"","JRUEB",NA
"cfa9f305-b831-4b35-831f-eb352aa380d2","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",1,"Y","GCKI","Regulus satrapa","species","Golden-crowned Kinglet","Regulidae","N",18,"singing","No","Male",1,"","JRUEB",NA
"b065e73f-9701-4e29-ac20-0cd30f834eba","BART_025.birdGrid.brd","D01","BART","BART_025","distributed",6,"2015-06-14T13:04Z",1,"BRD.BART.2015.1",4,"Y","BAWW","Mniotilta varia","species","Black-and-white Warbler","Parulidae","N",37,"singing","No","Male",1,"","JRUEB",NA
