"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"f565c22c-4f71-4557-bbdf-a09baf04e155","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",2,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",56,"singing","No","Unknown",1,NA,"KKLAP",NA
"d5bfcc18-fc59-44d8-b286-78f0fa6bb7ea","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",5,"Y","RBNU","Sitta canadensis","species","Red-breasted Nuthatch","Sittidae","N",31,"singing","No","Unknown",1,NA,"KKLAP",NA
"fc40dfe2-dec2-4f4b-bd39-21a1f261354f","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",37,"singing","No","Unknown",1,NA,"KKLAP",NA
"0f535b45-403e-477d-b62b-eefbb0adaa6e","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","WIWR","Troglodytes hiemalis","species","Winter Wren","Troglodytidae","UNK",52,"singing","No","Unknown",1,NA,"KKLAP",NA
"add0dd24-5c75-42be-89ce-ebae04190c85","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",4,"N","","","","","","",NA,"","","",NA,NA,"KKLAP",NA
"c561877a-a297-41ae-8e11-fbd7cb0a8fea","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",3,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",30,"singing","No","Unknown",1,NA,"KKLAP",NA
"46db96ec-374a-41e6-8724-0684693a9d41","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",6,"Y","BLJA","Cyanocitta cristata","species","Blue Jay","Corvidae","N",29,"visual","Yes","Unknown",1,NA,"KKLAP",NA
"4871482c-3521-463d-9a02-2c9cc63a0de1","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",1,"Y","HETH","Catharus guttatus","species","Hermit Thrush","Turdidae","N",75,"singing","No","Unknown",1,NA,"KKLAP",NA
"e4508197-e982-4109-af12-4ee25b00157d","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2022-06-15T09:39Z",1,"BRD.BART.2022.1",3,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",58,"singing","No","Unknown",1,NA,"KKLAP",NA
"db19d5c3-dc9b-4972-81d7-7e29e7a58551","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",5,"2022-06-15T09:53Z",1,"BRD.BART.2022.1",3,"N","","","","","","",NA,"","","",NA,NA,"KKLAP",NA
